Tienda;URL;
Makro;https://www.makro.plazavea.com.pe/arroz-extra-anejo-premium-faraon-bolsa-10-kg/p;Arroz10 Kilos
Metro;https://www.metro.pe/arroz-blanco-extra-anejo-faraon-naranja-10kg-570569-2/p;Arroz10 Kilos
Tottus;https://www.tottus.com.pe/tottus-pe/articulo/113707060/arroz-faraon-extra-bolsa-5-kg/113707061;Arroz 5 Kilos
Makro;https://www.makro.plazavea.com.pe/arroz-extra-faraon-bolsa-5kg/p;Arroz 5 Kilos
Metro;https://www.metro.pe/arroz-blanco-extra-anejo-faraon-naranja-5kg-570522/p;Arroz 5 Kilos
Vega;https://www.vega.pe/arroz-extra-faraon-bolsa-5kg-570363/p?srsltid=AfmBOorjohpFrp2-WcGVlig4v8mFyyx8OoJMcTTy27EQVvcXbjwJPcJv;Arroz 5 Kilos
Makro;https://www.makro.plazavea.com.pe/leche-reconstituida-entera-gloria-plancha-24-latas-390g-cu/p;Leche 24 latas
Vega;https://www.vega.pe/leche-reconstituida-gloria-entera-lata-390g-tableta-24u-13010724/p?idsku=13010724&gad_source=1&gad_campaignid=20256210207&gbraid=0AAAAAB8CMhpTkXtw5PKBePXL-ZxRKRcYL&gclid=CjwKCAjwpqHTBhAcEiwAj2AfuhEZhSoCl22aQG3-QOBQBLLpQDuNkPqag4IDBJkvV9yYCHMkNkNtHRoCiJoQAvD_BwE;Leche 24 latas
Makro;https://www.makro.plazavea.com.pe/leche-reconstituida-entera-gloria-lata-390g-paquete-6un-20402655/p;Leche 6 latas
Tottus;https://www.tottus.com.pe/tottus-pe/articulo/129087924/leche-gloria-reconstituida-entera-sixpack-lata-390-g/129087925;Leche 6 latas
Metro;https://www.metro.pe/sixpack-leche-reconstituida-gloria-lata-390g-975289-2/p;Leche 6 latas
Vega;https://www.vega.pe/leche-reconstituida-gloria-entera-lata-390g-paquete-6u-130108/p?idsku=130108&gad_source=1&gad_campaignid=20256210207&gbraid=0AAAAAB8CMhpTkXtw5PKBePXL-ZxRKRcYL&gclid=CjwKCAjwpqHTBhAcEiwAj2AfugmgOLvstRRuDp2LYm0z0eue-c7vi1cbghOl-CQwVgCKc1irkSBfehoCq7YQAvD_BwE;Leche 6 latas
Metro;https://www.metro.pe/twelvepack-leche-reconstituida-gloria-lata-390g-987550/p;Leche 12 latas
Vega;https://www.vega.pe/leche-reconstituida-gloria-entera-lata-390g-x-12u-13010712/p?idsku=13010712&gad_source=1&gad_campaignid=20256210207&gbraid=0AAAAAB8CMhpTkXtw5PKBePXL-ZxRKRcYL&gclid=CjwKCAjwpqHTBhAcEiwAj2AfuioKzB7aWdzD5Zte9w-v84XleWma2pTvFqpOScJXFX6UzB55mYRFHBoC1ZEQAvD_BwE;Leche 12 latas
Makro;https://www.makro.plazavea.com.pe/leche-reconstituida-entera-gloria-lata-390g-paquete-12un-20422491/p;Leche 12 latas
Makro;https://www.makro.plazavea.com.pe/aceite-vegetal-premium-primor-botella-900ml/p;Aceite premium
Tottus;https://www.tottus.com.pe/tottus-pe/articulo/113706602/aceite-vegetal-primor-premium-botella-900-ml/113706603?kid=shopp18to&gad_source=1&gad_campaignid=24057557471&gbraid=0AAAAAoLWC7ODBbtB740RHyagzI9z4_XQ1&gclid=CjwKCAjwpqHTBhAcEiwAj2AfulR8a-BALESeneUi59HQqY2Ul7sUCHQd91n7IF_gzv6fsnhlV-UeGRoCxlgQAvD_BwE;Aceite premium
Metro;https://www.metro.pe/aceite-vegetal-primor-premium-botella-900ml-3198/p;Aceite premium
Vega;https://www.vega.pe/aceite-vegetal-primor-premium-botella-900ml-20020/p?idsku=20020&gad_source=1&gad_campaignid=20256210207&gbraid=0AAAAAB8CMhpTkXtw5PKBePXL-ZxRKRcYL&gclid=CjwKCAjwpqHTBhAcEiwAj2AfuiLxjn2ZMyWJ3GNX0xitscGcLEnxcvvPKV5V-3-uZ6ZEdMIN3pBuzhoCeYMQAvD_BwE;Aceite premium
Tambo;https://www.tambo.pe/pedir/Bt5vBFhYdLqqWzB5Q/aceite-primor-vegetal-900-ml?srsltid=AfmBOoo4ggQCAh_8pKaNAEmycwQj73AxEDFJjkrS6a1bBMibHFAvAWJa;Aceite premium
Makro;https://www.makro.plazavea.com.pe/azucar-rubia-cartavio-bolsa-5kg/p;Azúcar 5KG
Vega;https://www.vega.pe/azucar-rubia-cartavio-bolsa-5kg-220015/p;Azúcar 5KG
Makro;https://www.makro.plazavea.com.pe/trocitos-de-atun-con-aceite-vegetal-florida-lata-140g-paquete-6un/p;Atun 6 un
Metro;https://www.metro.pe/pack-x6-trozos-de-atun-florida-en-aceite-vegetal/p?srsltid=AfmBOooIftnUbfVYIOjhhaaNNcYOuvl_AUbCF_g_r9X0XhNQ3KTRodV5;Atun 6 un
Vega;https://www.vega.pe/trozos-de-atun-florida-en-aceite-vegetal-lata-140gr-pack-6u-1904706/p?srsltid=AfmBOoq06gHlHBXPli10jBmAkciADH87mGljc_lqfObtDRMsktzlCUAm;Atun 6 un
