Fecha_Hora;Tienda;Producto;Precio;Enlace
2026-08-14 11:46;Makro;Arroz Extra Añejo Premium FARAÓN Bolsa 10Kg;Agotado/Error;https://www.makro.plazavea.com.pe/arroz-extra-anejo-premium-faraon-bolsa-10-kg/p
2026-08-14 11:46;Metro;Arroz Blanco Extra Añejo Faraón Naranja 10kg;S/ 46.00;https://www.metro.pe/arroz-blanco-extra-anejo-faraon-naranja-10kg-570569-2/p
2026-08-14 11:46;Tottus;Arroz Faraón Extra Bolsa 5 Kg;S/  21.90;https://www.tottus.com.pe/tottus-pe/articulo/113707060/arroz-faraon-extra-bolsa-5-kg/113707061
2026-08-14 11:46;Makro;Arroz Extra Añejo FARAON Naranja Bolsa 5kg;S/23.90;https://www.makro.plazavea.com.pe/arroz-extra-faraon-bolsa-5kg/p
2026-08-14 11:46;Metro;Arroz Blanco Extra Añejo Faraón Naranja 5kg;S/ 21.80;https://www.metro.pe/arroz-blanco-extra-anejo-faraon-naranja-5kg-570522/p
2026-08-14 11:47;Vega;Arroz Extra FARAON Bolsa 5Kg;S/ 21.90;https://www.vega.pe/arroz-extra-faraon-bolsa-5kg-570363/p?srsltid=AfmBOorjohpFrp2-WcGVlig4v8mFyyx8OoJMcTTy27EQVvcXbjwJPcJv
2026-08-14 11:47;Makro;No disponible;Agotado/Error;https://www.makro.plazavea.com.pe/leche-reconstituida-entera-gloria-plancha-24-latas-390g-cu/p
2026-08-14 11:47;Vega;Leche Reconstituida GLORIA Entera Lata 390g Tableta 24u;S/ 87.20;https://www.vega.pe/leche-reconstituida-gloria-entera-lata-390g-tableta-24u-13010724/p?idsku=13010724&gad_source=1&gad_campaignid=20256210207&gbraid=0AAAAAB8CMhpTkXtw5PKBePXL-ZxRKRcYL&gclid=CjwKCAjwpqHTBhAcEiwAj2AfuhEZhSoCl22aQG3-QOBQBLLpQDuNkPqag4IDBJkvV9yYCHMkNkNtHRoCiJoQAvD_BwE
2026-08-14 11:47;Makro;Leche Reconstituida Entera GLORIA Lata 390g Paquete 6un;S/22.90;https://www.makro.plazavea.com.pe/leche-reconstituida-entera-gloria-lata-390g-paquete-6un-20402655/p
2026-08-14 11:47;Tottus;Leche Gloria Reconstituida Entera Sixpack Lata 390 g;S/  20.90;https://www.tottus.com.pe/tottus-pe/articulo/129087924/leche-gloria-reconstituida-entera-sixpack-lata-390-g/129087925
2026-08-14 11:47;Metro;Sixpack Leche Reconstituida Gloria Lata 390g;S/ 22.30;https://www.metro.pe/sixpack-leche-reconstituida-gloria-lata-390g-975289-2/p
